City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
Rikitea,PF,2020-09-10 15:22:36,-23.12,-134.97,100,82,73.51,19.95
Busselton,AU,2020-09-10 15:22:37,-33.65,115.33,68,78,46.99,3.18
Vaini,TO,2020-09-10 15:22:37,-21.2,-175.2,75,88,73.4,11.41
Jamestown,US,2020-09-10 15:20:15,42.1,-79.24,90,83,73.0,3.36
East London,ZA,2020-09-10 15:22:37,-33.02,27.91,20,87,60.8,5.82
Tuktoyaktuk,CA,2020-09-10 15:22:37,69.45,-133.04,90,77,35.6,11.41
Bengkulu,ID,2020-09-10 15:22:37,-3.8,102.27,100,88,74.7,4.74
Albany,US,2020-09-10 15:22:38,42.6,-73.97,78,95,77.0,3.27
Carnarvon,AU,2020-09-10 15:22:38,-24.87,113.63,0,82,64.4,18.34
Sinnamary,GF,2020-09-10 15:22:38,5.38,-52.95,0,68,85.71,13.76
Pangnirtung,CA,2020-09-10 15:22:38,66.15,-65.71,90,64,39.2,14.99
Punta Arenas,CL,2020-09-10 15:19:31,-53.15,-70.92,100,81,42.8,10.29
Mandurah,AU,2020-09-10 15:20:44,-32.55,115.7,100,73,53.01,5.41
Ancud,CL,2020-09-10 15:22:39,-41.87,-73.82,69,61,54.0,5.01
Douentza,ML,2020-09-10 15:22:39,15.0,-2.95,100,44,91.31,11.54
Portland,US,2020-09-10 15:18:05,45.52,-122.68,20,43,82.0,5.82
Te Anau,NZ,2020-09-10 15:22:39,-45.42,167.72,54,93,33.26,2.28
Ribeira Grande,PT,2020-09-10 15:22:39,38.52,-28.7,20,73,75.2,5.82
Sitka,US,2020-09-10 15:22:39,57.05,-135.33,90,82,57.2,14.99
Bredasdorp,ZA,2020-09-10 15:22:40,-34.53,20.04,100,87,59.0,12.75
Ushuaia,AR,2020-09-10 15:22:40,-54.8,-68.3,40,50,51.8,9.17
Mahébourg,MU,2020-09-10 15:22:40,-20.41,57.7,75,83,71.6,17.22
St. George's,GD,2020-09-10 15:18:43,12.06,-61.75,45,73,83.71,5.39
Hobart,AU,2020-09-10 15:19:25,-42.88,147.33,88,70,46.4,10.29
Māngrol,IN,2020-09-10 15:22:40,21.12,70.12,100,82,81.07,8.99
Iranshahr,IR,2020-09-10 15:22:41,27.2,60.68,0,11,95.0,9.17
Kiama,AU,2020-09-10 15:22:41,-34.68,150.87,86,84,53.01,0.56
Hermanus,ZA,2020-09-10 15:22:41,-34.42,19.23,100,89,57.99,7.0
Tuatapere,NZ,2020-09-10 15:22:41,-46.13,167.68,97,91,39.0,1.01
Sivas Province,TR,2020-09-10 15:22:41,39.79,37.0,0,87,57.2,6.93
Yangi Marg`ilon,UZ,2020-09-10 15:22:41,40.43,71.72,0,49,69.8,4.7
Cidreira,BR,2020-09-10 15:22:42,-30.18,-50.21,0,82,63.19,11.16
Richards Bay,ZA,2020-09-10 15:22:42,-28.78,32.04,98,79,67.96,8.25
Qandala,SO,2020-09-10 15:22:42,11.47,49.87,0,56,89.53,2.95
Cape Town,ZA,2020-09-10 15:18:02,-33.93,18.42,98,77,61.0,9.17
Iqaluit,CA,2020-09-10 15:22:42,63.75,-68.51,75,64,39.2,6.93
Norman Wells,CA,2020-09-10 15:22:43,65.28,-126.83,90,93,46.4,11.41
Hasaki,JP,2020-09-10 15:22:43,35.73,140.83,40,94,75.2,3.36
Coolum Beach,AU,2020-09-10 15:22:43,-26.53,153.1,98,97,59.0,3.0
Butaritari,KI,2020-09-10 15:22:43,3.07,172.79,97,78,82.44,16.73
Avarua,CK,2020-09-10 15:22:43,-21.21,-159.78,100,94,73.4,12.75
Barrow,US,2020-09-10 15:22:44,71.29,-156.79,90,93,39.2,20.8
Lorengau,PG,2020-09-10 15:22:44,-2.02,147.27,73,80,81.93,9.35
Mount Gambier,AU,2020-09-10 15:22:44,-37.83,140.77,100,62,57.2,14.99
Hambantota,LK,2020-09-10 15:22:44,6.12,81.12,20,100,78.8,9.17
Kapaa,US,2020-09-10 15:22:45,22.08,-159.32,20,66,84.2,11.41
Thompson,CA,2020-09-10 15:22:45,55.74,-97.86,40,50,53.6,11.41
North Platte,US,2020-09-10 15:21:38,41.12,-100.77,1,44,59.0,4.68
Esperance,AU,2020-09-10 15:22:45,-33.87,121.9,19,100,44.6,4.7
Bluff,NZ,2020-09-10 15:22:45,-46.6,168.33,100,91,39.0,1.01
Atuona,PF,2020-09-10 15:22:46,-9.8,-139.03,2,75,78.21,23.42
Tasiilaq,GL,2020-09-10 15:22:46,65.61,-37.64,75,84,35.6,8.05
Christchurch,NZ,2020-09-10 15:20:19,-43.53,172.63,95,93,45.0,8.05
Ugoofaaru,MV,2020-09-10 15:21:09,5.67,73.0,47,78,81.82,13.62
Ribas do Rio Pardo,BR,2020-09-10 15:22:46,-20.44,-53.76,44,11,104.11,3.71
Copiapó,CL,2020-09-10 15:20:13,-27.37,-70.33,75,67,59.0,13.87
Castro,BR,2020-09-10 15:22:46,-24.79,-50.01,17,41,81.93,5.73
São Filipe,CV,2020-09-10 15:22:47,14.9,-24.5,52,82,80.76,10.71
Maragogi,BR,2020-09-10 15:22:47,-9.01,-35.22,0,78,76.91,13.18
Rundu,NA,2020-09-10 15:22:47,-17.93,19.77,0,22,68.22,7.27
Cândido Mendes,BR,2020-09-10 15:22:47,-1.45,-45.72,37,59,87.06,8.55
Pevek,RU,2020-09-10 15:22:48,69.7,170.31,100,93,42.01,7.67
Yamada,JP,2020-09-10 15:22:48,39.47,141.95,100,89,70.0,3.31
San Cristobal,VE,2020-09-10 15:22:48,7.77,-72.22,40,49,91.4,9.17
Gallup,US,2020-09-10 15:21:53,35.53,-108.74,40,36,62.6,10.29
Muros,ES,2020-09-10 15:22:48,42.78,-9.06,64,64,75.99,5.08
Fortuna,US,2020-09-10 15:22:49,40.6,-124.16,1,100,55.4,5.91
Mar del Plata,AR,2020-09-10 15:22:49,-38.0,-57.56,0,54,57.2,12.75
San Patricio,MX,2020-09-10 15:22:49,19.22,-104.7,40,70,91.4,9.17
Basco,PH,2020-09-10 15:22:49,20.45,121.97,4,72,83.89,8.14
Novomykolayivka,UA,2020-09-10 15:22:49,47.98,35.91,0,43,71.6,8.7
Khatanga,RU,2020-09-10 15:22:49,71.97,102.5,1,92,42.62,7.25
Córdoba,AR,2020-09-10 15:19:21,-31.41,-64.18,0,34,80.6,25.28
Hilo,US,2020-09-10 15:22:50,19.73,-155.09,90,83,77.0,4.7
Kurumkan,RU,2020-09-10 15:22:50,54.3,110.3,74,76,54.16,4.45
Berlevåg,NO,2020-09-10 15:22:50,70.86,29.09,0,93,42.8,8.05
Santa Rosa,PH,2020-09-10 15:22:50,14.31,121.11,20,83,82.4,2.24
Zhuanghe,CN,2020-09-10 15:22:51,39.7,122.99,6,91,63.09,11.74
Tiksi,RU,2020-09-10 15:22:51,71.69,128.87,93,70,42.87,7.09
Sergeevka,KZ,2020-09-10 15:22:51,53.88,67.42,100,49,50.86,9.19
Saint-Philippe,RE,2020-09-10 15:22:52,-21.36,55.77,90,77,69.8,11.41
Nouadhibou,MR,2020-09-10 15:22:52,20.93,-17.03,1,74,82.4,13.87
Mossamedes,AO,2020-09-10 15:22:52,-15.2,12.15,100,84,69.66,3.78
North Bend,US,2020-09-10 15:22:52,43.41,-124.22,90,100,53.01,3.36
Sur,OM,2020-09-10 15:22:52,22.57,59.53,0,58,84.92,9.44
Kailua,US,2020-09-10 15:22:53,21.4,-157.74,40,65,84.2,11.41
Ust-Maya,RU,2020-09-10 15:22:53,60.42,134.53,0,85,41.23,3.04
Murray Bridge,AU,2020-09-10 15:22:53,-35.12,139.27,100,50,64.99,5.99
Tessalit,ML,2020-09-10 15:22:53,20.2,1.01,61,10,101.3,7.96
Mataura,NZ,2020-09-10 15:22:54,-46.19,168.86,99,91,39.0,1.01
Constitución,CL,2020-09-10 15:22:54,-35.33,-72.42,12,74,58.73,8.3
Qaanaaq,GL,2020-09-10 15:22:54,77.48,-69.36,100,83,27.43,11.23
Bundaberg,AU,2020-09-10 15:22:54,-24.85,152.35,81,82,62.01,8.05
Ceres,US,2020-09-10 15:22:30,37.59,-120.96,90,50,75.2,5.82
Milas,TR,2020-09-10 15:22:55,37.32,27.78,0,61,78.8,4.7
Buin,CL,2020-09-10 15:22:55,-33.73,-70.75,0,49,71.01,8.05
Bubaque,GW,2020-09-10 15:18:07,11.28,-15.83,100,84,79.2,7.49
Tigil',RU,2020-09-10 15:22:55,57.8,158.67,0,93,37.24,2.82
Ostrovnoy,RU,2020-09-10 15:22:55,68.05,39.51,1,90,44.73,3.83
Longyearbyen,SJ,2020-09-10 15:22:55,78.22,15.64,75,81,44.6,18.34
Kabompo,ZM,2020-09-10 15:22:56,-13.59,24.2,0,27,65.55,4.65
Ilulissat,GL,2020-09-10 15:22:56,69.22,-51.1,75,59,35.6,3.36
Kozhva,RU,2020-09-10 15:22:56,65.11,57.05,0,92,47.62,8.05
Dikson,RU,2020-09-10 15:22:56,73.51,80.55,100,100,43.9,17.92
Bata,GQ,2020-09-10 15:22:57,1.86,9.77,40,83,80.6,6.93
Flinders,AU,2020-09-10 15:22:57,-34.58,150.86,82,85,53.01,1.01
Meulaboh,ID,2020-09-10 15:22:57,4.14,96.13,100,79,75.67,4.59
Sistranda,NO,2020-09-10 15:22:57,63.73,8.83,75,87,46.4,16.11
São Raimundo das Mangabeiras,BR,2020-09-10 15:22:57,-7.02,-45.48,2,17,100.54,7.07
Puerto Ayora,EC,2020-09-10 15:22:58,-0.74,-90.35,40,61,77.0,21.92
Siniscola,IT,2020-09-10 15:22:58,40.57,9.69,40,94,73.4,5.82
Saint Paul Harbor,US,2020-09-10 15:22:58,57.79,-152.41,1,50,55.4,13.87
Bilma,NE,2020-09-10 15:22:58,18.69,12.92,0,9,99.41,7.67
Caravelas,BR,2020-09-10 15:22:58,-17.71,-39.25,10,57,77.36,8.14
Rocha,UY,2020-09-10 15:22:26,-34.48,-54.33,0,53,60.19,5.61
Kavaratti,IN,2020-09-10 15:22:59,10.57,72.64,100,81,81.37,20.38
Mahabalipuram,IN,2020-09-10 15:22:59,12.63,80.17,75,74,84.2,5.82
Airai,TL,2020-09-10 15:22:59,-8.93,125.41,48,100,56.46,2.73
Chifeng,CN,2020-09-10 15:22:59,42.27,118.96,100,90,57.52,11.74
Progreso,MX,2020-09-10 15:23:00,21.28,-89.67,75,47,97.0,9.17
Kaitangata,NZ,2020-09-10 15:23:00,-46.28,169.85,85,72,42.01,3.0
Mumbwa,ZM,2020-09-10 15:23:00,-14.98,27.06,0,31,61.61,5.57
Hay River,CA,2020-09-10 15:23:00,60.82,-115.8,75,76,53.6,8.05
New Norfolk,AU,2020-09-10 15:23:00,-42.78,147.06,98,69,46.0,3.89
Champasak,LA,2020-09-10 15:23:01,14.75,106.0,100,96,74.28,1.07
Aksu,CN,2020-09-10 15:23:01,41.12,80.26,0,34,70.88,8.14
Talnakh,RU,2020-09-10 15:23:01,69.49,88.4,100,93,46.4,8.95
Grindavik,IS,2020-09-10 15:23:02,63.84,-22.43,75,93,48.2,11.41
Kurmanayevka,RU,2020-09-10 15:23:02,52.51,52.07,0,66,55.13,3.8
Olafsvik,IS,2020-09-10 15:23:02,64.89,-23.71,97,85,48.74,14.58
Osinovo,RU,2020-09-10 15:23:02,55.88,48.88,100,62,59.0,11.18
Odesa,UA,2020-09-10 15:23:02,46.48,30.73,0,77,68.0,6.71
Makkah al Mukarramah,SA,2020-09-10 15:23:03,21.43,39.83,100,32,91.15,3.0
Bathsheba,BB,2020-09-10 15:23:03,13.22,-59.52,40,62,87.8,6.93
Saldanha,ZA,2020-09-10 15:23:03,-33.01,17.94,11,72,60.8,6.93
Nara,JP,2020-09-10 15:23:03,34.69,135.8,46,96,73.99,2.98
Padang,ID,2020-09-10 15:23:04,-0.95,100.35,99,80,75.29,3.69
San Quintín,MX,2020-09-10 15:23:04,30.48,-115.95,0,37,81.54,8.97
Cayenne,GF,2020-09-10 15:23:04,4.93,-52.33,36,59,89.6,13.87
Ilhabela,BR,2020-09-10 15:23:04,-23.78,-45.36,15,76,76.59,1.72
Kudahuvadhoo,MV,2020-09-10 15:21:09,2.67,72.89,100,78,81.72,14.58
Nuuk,GL,2020-09-10 15:22:31,64.18,-51.72,40,72,41.0,17.22
Jalu,LY,2020-09-10 15:23:04,29.03,21.55,0,43,83.34,20.27
Hermon,US,2020-09-10 15:23:05,44.81,-68.91,40,61,84.99,12.75
High Level,CA,2020-09-10 15:23:05,58.52,-117.14,90,100,50.0,6.93
Imeni Poliny Osipenko,RU,2020-09-10 15:23:05,52.42,136.49,0,92,39.33,3.58
Solnechnyy,RU,2020-09-10 15:23:05,50.72,136.63,0,82,41.85,6.26
Saint-Pierre,RE,2020-09-10 15:23:05,-21.34,55.48,90,77,69.8,11.41
Spornoye,RU,2020-09-10 15:23:06,50.84,37.29,0,52,68.0,6.71
Dahuk,IQ,2020-09-10 15:23:06,36.87,42.99,0,17,79.88,4.94
Hofn,IS,2020-09-10 15:23:06,64.25,-15.21,100,88,49.19,9.35
Kiryat Gat,IL,2020-09-10 15:23:06,31.61,34.76,0,100,84.0,0.92
Salalah,OM,2020-09-10 15:23:06,17.02,54.09,20,88,78.8,3.36
Katsuura,JP,2020-09-10 15:23:07,35.13,140.3,20,88,80.6,10.29
Tingi,TZ,2020-09-10 15:23:07,-11.3,35.03,0,50,62.24,1.88
Lethem,GY,2020-09-10 15:23:07,3.38,-59.8,96,57,89.87,3.13
Okhotsk,RU,2020-09-10 15:23:07,59.38,143.3,0,63,46.26,8.99
Mergen,CN,2020-09-10 15:23:07,49.18,125.22,0,90,46.87,5.3
Porto-Novo,BJ,2020-09-10 15:23:08,6.5,2.6,40,83,78.8,10.29
Gadwāl,IN,2020-09-10 15:23:08,16.23,77.8,100,83,78.8,8.14
Kambove,CD,2020-09-10 15:23:08,-10.88,26.6,41,31,62.06,4.27
Sīkar,IN,2020-09-10 15:23:08,27.62,75.15,0,51,83.52,8.14
Saint-Augustin,CA,2020-09-10 15:23:05,51.23,-58.65,100,77,51.89,5.41
Kargasok,RU,2020-09-10 15:23:09,59.06,80.86,100,97,47.75,6.08
Tacoronte,ES,2020-09-10 15:23:09,28.48,-16.41,20,88,73.0,19.46
Philadelphia,US,2020-09-10 15:20:22,39.95,-75.16,90,78,84.99,3.36
Husavik,IS,2020-09-10 15:23:09,66.04,-17.34,90,87,48.2,5.82
Tomatlán,MX,2020-09-10 15:23:09,19.93,-105.25,13,52,91.85,4.34
São João dos Patos,BR,2020-09-10 15:21:12,-6.5,-43.7,0,19,97.86,7.34
Yanam,IN,2020-09-10 15:23:10,16.73,82.22,100,85,80.06,2.37
Ayagoz,KZ,2020-09-10 15:23:10,47.97,80.44,0,66,43.41,9.55
Atar,MR,2020-09-10 15:23:10,20.52,-13.05,100,16,103.3,12.17
Mwinilunga,ZM,2020-09-10 15:23:10,-11.74,24.43,22,28,61.81,5.37
Liverpool,GB,2020-09-10 15:18:21,53.41,-2.98,75,62,57.2,5.82
Kloulklubed,PW,2020-09-10 15:23:10,7.04,134.26,75,94,75.2,4.38
Los Llanos de Aridane,ES,2020-09-10 15:23:11,28.66,-17.92,20,78,75.2,14.99
Juneau,US,2020-09-10 15:23:11,58.3,-134.42,75,72,59.0,3.78
Quang Ngai,VN,2020-09-10 15:23:11,15.12,108.8,93,90,76.82,5.48
Porto Walter,BR,2020-09-10 15:23:11,-8.27,-72.74,97,30,97.68,1.48
Cairns,AU,2020-09-10 15:19:50,-16.92,145.77,16,72,68.0,4.7
Bandarbeyla,SO,2020-09-10 15:23:12,9.49,50.81,60,76,77.94,21.99
Anloga,GH,2020-09-10 15:23:12,5.79,0.9,20,83,78.8,10.29
Mnogovershinnyy,RU,2020-09-10 15:20:03,53.94,139.92,0,95,37.0,2.3
Romny,UA,2020-09-10 15:23:12,50.75,33.47,0,67,64.08,10.94
Geraldton,AU,2020-09-10 15:23:12,-28.77,114.6,90,93,46.4,4.7
Saint George,US,2020-09-10 15:18:43,37.1,-113.58,1,22,69.8,4.7
Necochea,AR,2020-09-10 15:23:12,-38.55,-58.74,0,48,64.0,14.0
Saint Anthony,US,2020-09-10 15:19:24,45.02,-93.22,75,58,59.0,4.7
Somerset,US,2020-09-10 15:18:32,40.57,-74.55,40,74,84.0,6.96
Kharhiāl,IN,2020-09-10 15:23:13,20.28,82.77,100,86,79.56,3.62
Presidencia Roque Sáenz Peña,AR,2020-09-10 15:23:13,-26.79,-60.44,0,34,90.64,8.28
George Town,MY,2020-09-10 15:23:13,5.41,100.34,40,100,77.0,3.36
Asău,RO,2020-09-10 15:23:13,46.43,26.4,0,74,63.0,4.16
Manono,CD,2020-09-10 15:23:13,-7.3,27.42,100,27,78.84,5.86
Chokurdakh,RU,2020-09-10 15:23:14,70.63,147.92,1,80,39.76,5.39
Harper,LR,2020-09-10 15:23:14,4.38,-7.72,79,83,76.53,10.69
Port Elizabeth,ZA,2020-09-10 15:23:14,-33.92,25.57,100,93,60.8,14.99
Guatire,VE,2020-09-10 15:18:38,10.48,-66.54,56,59,82.99,4.0
Bichena,ET,2020-09-10 15:23:14,10.45,38.2,7,84,54.43,3.62
Severo-Kuril'sk,RU,2020-09-10 15:23:15,50.68,156.12,100,80,49.5,5.73
Vikhorevka,RU,2020-09-10 15:23:15,56.12,101.16,100,93,48.2,2.24
Hithadhoo,MV,2020-09-10 15:21:36,-0.6,73.08,92,78,81.61,13.53
Souillac,MU,2020-09-10 15:23:15,-20.52,57.52,75,83,71.6,17.22
Bitung,ID,2020-09-10 15:23:16,1.45,125.18,20,94,75.2,1.12
Arraial do Cabo,BR,2020-09-10 15:23:16,-22.97,-42.03,83,61,78.8,20.8
Abnūb,EG,2020-09-10 15:23:16,27.27,31.15,0,33,87.8,5.82
Boca do Acre,BR,2020-09-10 15:23:16,-8.75,-67.4,97,22,101.01,4.43
Lashio,MM,2020-09-10 15:23:16,22.93,97.75,100,99,68.07,0.81
Angoram,PG,2020-09-10 15:23:16,-4.06,144.07,100,97,73.67,2.19
Beaverlodge,CA,2020-09-10 15:23:17,55.22,-119.44,20,36,77.0,17.22
Kirovskiy,RU,2020-09-10 15:23:17,45.09,133.51,88,96,54.14,2.51
Jiwani,PK,2020-09-10 15:23:17,25.05,61.74,100,77,83.7,9.06
Yellowknife,CA,2020-09-10 15:23:17,62.46,-114.35,75,66,54.0,11.41
Nanortalik,GL,2020-09-10 15:23:18,60.14,-45.24,0,66,41.59,39.46
Port-de-Bouc,FR,2020-09-10 15:23:18,43.4,4.98,100,88,73.4,4.7
Klaksvík,FO,2020-09-10 15:23:18,62.23,-6.59,97,100,50.0,12.75
Kansanshi,ZM,2020-09-10 15:23:18,-12.1,26.43,24,33,58.51,3.29
Sisimiut,GL,2020-09-10 15:23:19,66.94,-53.67,52,70,40.68,11.21
Lovozero,RU,2020-09-10 15:23:19,68.0,35.01,0,82,40.41,0.87
Baturaja,ID,2020-09-10 15:23:19,-4.13,104.17,100,92,74.5,1.99
Kieta,PG,2020-09-10 15:23:19,-6.22,155.63,68,80,77.7,3.65
Minudasht,IR,2020-09-10 15:23:19,37.23,55.37,0,60,68.0,4.7
Mujiayingzi,CN,2020-09-10 15:23:20,42.12,118.78,100,92,56.01,13.49
Vila Velha,BR,2020-09-10 15:23:20,-20.33,-40.29,100,65,81.0,19.46
Pathein,MM,2020-09-10 15:23:20,16.78,94.73,100,91,79.34,2.84
Kashan,IR,2020-09-10 15:23:20,33.98,51.44,100,18,83.5,12.48
Ponta do Sol,PT,2020-09-10 15:23:20,32.67,-17.1,40,73,73.4,12.75
Ilongero,TZ,2020-09-10 15:23:21,-4.67,34.87,74,50,68.13,13.11
Fairbanks,US,2020-09-10 15:20:01,64.84,-147.72,75,75,42.8,13.87
Nizhniy Tsasuchey,RU,2020-09-10 15:23:21,50.52,115.13,8,74,54.52,8.08
George Town,MY,2020-09-10 15:20:25,5.41,100.34,40,100,77.0,3.36
Aklavik,CA,2020-09-10 15:23:21,68.22,-135.01,90,93,37.4,4.7
Chakradharpur,IN,2020-09-10 15:23:21,22.7,85.63,100,84,78.76,3.11
Berbera,SO,2020-09-10 15:23:22,10.44,45.01,0,46,93.25,4.97
Toktogul,KG,2020-09-10 15:23:22,41.87,72.94,0,36,64.92,0.25
Izhma,RU,2020-09-10 15:23:22,65.01,53.91,100,90,47.66,9.35
Jishou,CN,2020-09-10 15:23:22,28.32,109.72,86,84,69.8,2.89
Salinópolis,BR,2020-09-10 15:23:22,-0.61,-47.36,0,71,83.37,15.99
Chui,UY,2020-09-10 15:23:23,-33.7,-53.46,0,61,59.9,7.72
Monforte de Lemos,ES,2020-09-10 15:23:23,42.52,-7.51,100,57,72.0,3.02
Port Alfred,ZA,2020-09-10 15:23:23,-33.59,26.89,100,85,62.58,19.82
Brownfield,US,2020-09-10 15:23:23,33.18,-102.27,100,75,54.0,3.0
Margate,GB,2020-09-10 15:22:11,51.38,1.39,11,47,62.01,2.84
Port Blair,IN,2020-09-10 15:23:23,11.67,92.75,100,85,80.83,10.47
Zeya,RU,2020-09-10 15:23:24,53.75,127.27,90,72,51.44,3.0
Jacareacanga,BR,2020-09-10 15:23:24,-6.22,-57.75,100,52,93.2,5.82
Solwezi,ZM,2020-09-10 15:23:24,-12.17,26.39,12,33,58.75,3.29
Sayyan,YE,2020-09-10 15:23:24,15.17,44.32,0,41,67.89,10.69
Coahuayana Viejo,MX,2020-09-10 15:23:24,18.73,-103.68,75,78,80.6,11.41
Marsabit,KE,2020-09-10 15:23:24,2.33,37.99,47,64,69.1,21.97
Teeli,RU,2020-09-10 15:23:25,51.03,90.23,100,79,38.46,1.45
Zyryanskoye,RU,2020-09-10 15:23:25,56.83,86.63,0,93,42.73,3.89
Fort Nelson,CA,2020-09-10 15:23:25,58.81,-122.7,90,100,53.6,3.36
Kruisfontein,ZA,2020-09-10 15:23:25,-34.0,24.73,100,92,60.01,3.0
Marakkanam,IN,2020-09-10 15:23:25,12.2,79.95,100,79,82.17,13.94
Mackenzie,CA,2020-09-10 15:23:26,55.3,-123.17,1,56,68.0,9.17
Faanui,PF,2020-09-10 15:23:26,-16.48,-151.75,0,75,78.08,11.9
Fort-Shevchenko,KZ,2020-09-10 15:23:26,44.51,50.26,0,54,69.17,6.76
Chisec,GT,2020-09-10 15:23:26,15.82,-90.28,60,49,92.52,3.98
Namtsy,RU,2020-09-10 15:23:26,62.72,129.67,100,75,41.0,2.24
Ternate,ID,2020-09-10 15:23:27,0.8,127.4,2,78,80.33,4.0
Awjilah,LY,2020-09-10 15:23:27,29.11,21.29,0,44,82.51,19.28
Plettenberg Bay,ZA,2020-09-10 15:23:27,-34.05,23.37,100,90,60.21,17.13
Ixtapa,MX,2020-09-10 15:23:27,20.7,-105.2,40,66,89.01,8.05
Hastings,GB,2020-09-10 15:23:27,50.86,0.57,4,76,59.0,8.05
Dakoro,NE,2020-09-10 15:23:28,14.51,6.76,1,35,94.78,9.71
Pundaguitan,PH,2020-09-10 15:23:28,6.37,126.17,100,75,84.07,11.9
Baykit,RU,2020-09-10 15:23:28,61.67,96.37,1,85,43.2,0.87
Provideniya,RU,2020-09-10 15:23:29,64.38,-173.3,90,87,46.4,2.24
Gimli,CA,2020-09-10 15:20:30,50.63,-96.99,0,76,72.0,3.0
Festus,US,2020-09-10 15:23:29,38.22,-90.4,67,69,86.0,4.56
Hong Kong,HK,2020-09-10 15:20:16,22.29,114.16,100,79,84.0,3.0
Pronsk,RU,2020-09-10 15:23:29,54.1,39.61,95,88,57.0,3.0
Yazd,IR,2020-09-10 15:23:30,31.9,54.37,97,14,84.2,4.7
Puerto Carreño,CO,2020-09-10 15:19:02,6.19,-67.49,40,52,89.6,5.82
Emba,KZ,2020-09-10 15:23:30,48.83,58.14,45,40,61.97,13.22
Norden,DE,2020-09-10 15:23:30,53.6,7.2,75,76,55.4,1.12
Atherton,GB,2020-09-10 15:19:41,53.52,-2.49,100,68,55.99,5.99
Biak,ID,2020-09-10 15:23:30,-0.91,122.88,37,82,76.68,6.13
Talagang,PK,2020-09-10 15:23:31,32.93,72.42,0,44,85.8,2.68
Ambovombe,MG,2020-09-10 15:23:31,-25.17,46.08,99,76,72.14,6.64
Dinar,TR,2020-09-10 15:23:31,38.06,30.17,0,35,73.4,4.7
Sungai Penuh,ID,2020-09-10 15:23:31,-2.08,101.38,100,92,64.47,1.68
Moree,AU,2020-09-10 15:23:32,-29.47,149.85,18,87,48.2,6.93
Belokurikha,RU,2020-09-10 15:23:32,52.0,84.99,0,86,42.53,4.81
Nochistlán de Mejía,MX,2020-09-10 15:23:32,21.37,-102.85,75,56,71.6,8.05
Nikolskoye,RU,2020-09-10 15:23:32,59.7,30.79,75,81,52.0,20.13
Cherskiy,RU,2020-09-10 15:23:32,68.75,161.3,71,87,39.11,2.59
Gorbatovka,RU,2020-09-10 15:23:33,56.25,43.75,90,100,61.0,11.18
Lompoc,US,2020-09-10 15:20:08,34.64,-120.46,90,93,57.2,3.36
Lukang,TW,2020-09-10 15:23:33,24.06,120.44,75,83,80.01,5.82
Sobolevo,RU,2020-09-10 15:23:33,54.43,31.9,0,81,51.3,11.36
Villa Constitución,AR,2020-09-10 15:23:34,-33.23,-60.33,0,32,82.99,8.01
Krasnyy Chikoy,RU,2020-09-10 15:23:34,50.36,108.75,100,83,54.43,3.94
Pumiao,CN,2020-09-10 15:23:34,22.75,108.48,40,88,78.8,2.24
Bambous Virieux,MU,2020-09-10 15:23:34,-20.34,57.76,75,83,72.0,17.22
Aljezur,PT,2020-09-10 15:23:34,37.32,-8.8,81,83,68.0,7.38
